,y
6616,0
23411,0
22312,0
16435,0
17708,0
29080,0
39590,0
27895,1
8815,0
40530,0
37910,1
29421,1
30398,0
37665,1
33277,0
33129,1
35791,0
26120,0
35540,0
32361,0
39740,1
6995,0
28565,0
14581,0
41075,0
36141,0
38555,0
6762,1
551,0
19727,0
22732,0
25412,0
18090,0
2805,0
27885,0
34853,0
37810,0
22666,0
4572,0
21818,0
37259,1
13558,0
39018,1
29466,0
21031,0
30581,1
40619,1
27271,0
24017,1
32065,0
15771,1
29071,0
8904,0
39359,0
21875,0
16803,0
15074,0
21164,0
30262,0
11696,0
1960,0
37491,0
9619,0
9496,0
13928,0
32823,0
16707,0
12323,0
6416,0
6241,0
29757,0
37487,0
34922,0
2253,0
35076,0
16450,0
3840,0
18973,0
3030,0
22746,0
33067,0
15597,0
27015,0
25117,0
3404,0
31688,0
6348,0
8493,0
16352,0
25231,0
22055,0
9548,0
39548,0
38320,0
30638,1
17582,0
17571,1
10975,0
15424,0
29794,0
25792,0
30602,0
11948,0
37462,1
10877,0
32634,0
11722,0
7847,0
11194,0
23641,0
22384,0
11340,0
10141,0
17634,0
1132,0
16603,1
33172,1
33981,0
12049,0
2228,0
4848,0
36371,1
6198,0
37220,1
6659,0
21829,0
2908,0
8696,0
31980,0
377,0
36263,0
3610,0
32326,0
7845,0
5837,0
31788,0
35034,0
22744,0
15270,0
9018,0
12977,0
3326,0
35414,0
19176,1
8429,0
22897,0
3824,0
11563,0
2232,0
12751,0
25590,0
13176,1
27126,0
2299,0
32477,0
16299,0
27704,1
28762,0
28833,0
6535,0
12060,0
31142,0
35004,0
36131,0
14713,0
25470,0
39511,1
20422,0
23725,0
34731,0
15877,0
2507,0
3657,0
35314,0
22006,0
35602,0
30107,0
8627,0
11880,0
36176,0
40673,1
23089,0
7022,0
21234,0
27681,0
19834,0
9837,0
38548,1
25091,0
30191,0
17127,0
641,0
21776,0
4334,0
16562,0
33468,1
16993,0
6328,0
19302,1
2830,0
8305,0
10664,0
12807,0
38879,0
23037,0
5504,0
21974,0
17947,0
37711,0
25006,0
2017,0
25293,0
36063,1
562,0
35801,0
9114,0
36333,1
33763,0
31590,1
20656,0
1616,0
39666,1
18629,0
22317,0
3048,0
40656,1
14944,1
31197,0
2988,0
3835,0
8527,0
32297,0
12445,0
31972,0
37554,0
2686,0
26538,1
18787,1
25588,0
1136,0
545,0
957,0
34615,0
20745,0
25540,0
14919,1
8471,0
40402,1
3280,0
17027,0
6680,0
38118,0
2888,0
34162,0
3589,0
28543,1
15439,0
18379,0
13338,0
34116,0
14965,0
1743,0
32368,0
37256,0
19274,0
14943,0
13089,0
32653,0
35335,0
4562,0
33807,0
4786,0
39220,1
26130,0
31742,0
6911,0
35240,0
17984,0
32851,0
19337,0
756,0
782,0
33531,0
28437,1
14539,0
6930,0
5421,0
2558,0
2141,0
37612,0
33906,0
39873,0
24451,0
32965,0
27695,0
18274,0
18197,0
15312,0
29493,0
4050,1
3405,0
19086,0
16626,0
30714,0
36299,1
29995,0
27515,0
32517,0
35557,0
1171,0
40349,1
26559,0
11549,1
29721,0
24134,0
23979,0
22345,0
21780,0
9223,0
37316,0
7938,0
21837,0
7015,0
681,1
26528,0
37801,1
27962,1
3640,0
4476,0
32303,0
16127,0
37929,1
34196,1
26401,0
4339,0
37393,1
25026,0
20348,0
32824,0
31798,0
26434,0
40675,1
25581,0
12528,0
2396,0
1845,0
22356,0
122,0
32050,0
38496,1
22947,0
26894,0
4567,0
20783,1
15930,0
595,0
5857,0
37564,0
28985,0
34032,0
26438,0
11695,0
25331,0
31573,0
3171,0
26827,0
24154,0
23277,0
1473,0
17827,0
32585,0
21677,0
6565,0
9503,0
28990,1
35033,0
35992,0
6647,0
4369,0
27558,0
36154,0
21011,1
29007,0
9719,0
39460,1
38849,0
40161,1
2270,0
24313,0
38313,0
2554,0
36657,0
41171,1
25307,0
30684,0
15645,0
22553,0
18191,0
20205,0
39900,0
6760,0
2993,0
40766,1
31627,0
40054,1
27990,0
25508,0
33552,0
24803,0
25692,1
33287,0
25535,0
5891,0
4493,0
39837,1
38397,1
39570,0
13023,0
2986,0
1120,0
11389,0
36595,1
15397,0
6767,0
34509,0
1880,0
1958,0
16584,0
14899,0
38929,1
440,0
7858,0
29579,0
28646,0
38384,0
27055,0
25172,0
24968,0
20492,0
3652,0
29567,0
11202,0
11252,0
8758,0
24178,0
0,0
29806,0
9217,0
11325,0
21183,0
30111,0
8325,0
31181,0
23592,0
1646,0
4510,0
15504,0
9012,0
12022,0
26796,0
39744,1
34677,0
35751,0
18365,0
3996,0
18639,0
23006,0
19760,0
4226,0
33892,0
16819,0
38521,1
33773,1
23648,0
26998,0
27799,0
13330,0
669,0
28857,0
14078,0
32886,0
17332,0
36454,0
9811,1
2008,0
18877,0
24657,0
18376,0
21152,0
33186,0
8384,0
22832,0
38828,1
329,0
22394,0
20993,0
31213,0
24737,1
22319,0
32954,0
26868,0
1873,0
30793,0
30168,1
40626,1
24020,0
639,0
31938,0
27526,0
2201,0
36919,0
1236,0
18538,0
37128,1
1520,0
5681,0
22706,0
29833,1
24621,0
36611,1
7209,0
11065,0
34798,0
14241,0
8013,0
16478,0
40715,1
27717,1
834,0
19000,1
19004,0
36945,1
20536,0
38165,0
19972,0
27347,0
32619,0
16347,0
18445,0
22123,0
22785,0
9497,0
5856,0
26273,1
28981,0
10818,0
1134,0
27982,0
23995,0
31834,0
20925,0
36308,0
39922,1
5294,0
897,0
18677,0
12223,0
31032,0
2442,0
31518,0
35238,0
39645,0
33456,0
19897,0
11367,0
27566,0
23556,0
8265,0
13710,1
10331,0
33019,0
21951,0
7564,0
10407,0
1936,0
17462,0
40004,1
26144,0
24446,0
36267,1
6096,0
6716,0
36630,0
2885,0
34239,0
31372,0
18093,0
22886,0
20674,0
2670,0
15486,0
19437,1
21789,0
4926,0
26488,0
39598,1
19195,0
15585,0
16879,0
7016,0
27495,0
21754,0
11502,0
30130,0
31780,0
40592,0
18067,0
28084,0
36905,0
11014,0
18127,0
18377,0
11241,0
11138,0
29237,0
24485,0
41151,1
4141,0
1174,0
26930,0
16287,0
10691,0
26150,0
20374,0
21694,0
4201,0
27397,0
28596,0
26133,0
13888,0
25324,0
14669,0
29682,1
3518,0
17104,0
38059,0
34160,0
15656,0
21455,0
2220,0
7962,0
22594,0
35207,0
8762,0
8996,0
13450,0
10236,0
6913,0
35560,0
11312,0
19691,0
16229,0
1259,0
4003,0
33516,0
34663,0
19771,0
20174,0
28184,0
17440,0
28801,0
30487,1
30975,0
13355,0
8043,0
27886,0
28047,0
6821,0
27720,0
124,0
7452,0
10989,0
9358,0
9490,0
5172,0
5427,0
38646,1
26686,0
40094,1
30075,0
33704,1
21410,0
9473,0
23614,0
25471,0
16895,0
26782,0
18676,0
35400,0
27051,0
23589,0
25633,0
17534,0
40265,1
40623,0
13723,0
5634,0
6189,0
17776,0
18356,0
14712,1
32224,0
35506,1
18167,0
21844,0
20990,0
29892,0
1713,0
14256,0
36166,1
16658,1
25488,0
24855,0
27343,0
15107,0
26654,0
6334,0
9121,0
30920,0
37193,1
9694,0
26536,0
12414,0
37946,0
20807,0
1305,0
26864,0
3273,0
28778,0
18336,0
17229,0
37600,0
5500,0
10593,0
1487,0
9379,0
35094,0
31103,0
8375,0
4915,0
14837,0
19381,0
32113,0
245,0
2414,0
26140,0
263,0
20489,0
14336,0
30676,0
14502,0
7525,0
22645,0
40814,0
6837,0
7869,0
37549,0
25824,0
32556,0
37050,0
2710,0
33782,0
39166,1
19243,0
30446,0
30288,1
10787,0
38817,1
38080,1
16639,0
7732,0
1768,0
1541,0
36820,1
28986,0
760,0
38266,0
12717,0
7791,0
5160,0
18874,0
27634,0
1434,0
24545,0
21654,0
8261,0
21865,0
11452,0
26906,0
37202,0
7049,0
39571,0
36617,1
2408,0
24350,0
6317,0
7901,0
2547,0
333,0
22585,0
19016,0
19963,0
9675,0
34362,0
14221,0
2468,0
31851,0
19548,0
22255,0
40501,0
25999,0
37440,0
26676,1
11077,0
11090,0
3298,0
24591,0
31456,0
11958,0
34877,0
10398,0
24544,0
18413,0
12218,0
35418,0
12639,0
7983,1
19508,0
27507,0
12840,0
10113,0
12895,0
17823,0
29352,1
26605,0
24399,0
6517,0
36954,1
9024,0
8243,0
20453,0
26876,0
34791,0
5940,0
13186,1
27140,0
9586,0
16630,0
16265,0
22178,0
20052,0
17073,0
20192,0
32927,0
11582,0
1926,0
41070,0
31079,0
5972,0
34014,0
10887,0
39177,0
26082,0
11156,0
1252,0
19891,0
2746,0
36456,0
1827,0
1251,0
13851,0
2413,0
29408,1
13789,1
728,0
15849,0
35119,0
24005,1
34320,0
39947,1
28423,1
28521,1
8652,0
39845,1
34777,0
36027,0
39141,0
2323,0
14873,0
502,0
21216,0
31723,0
18946,0
39849,1
9966,0
15185,0
28957,0
17435,0
9299,0
30499,0
15427,0
8773,0
25690,0
37252,0
14452,0
30159,1
36084,0
8871,0
3574,1
11939,0
10988,0
18126,0
32025,0
9525,0
39605,1
30708,0
11589,0
8457,0
9298,0
14525,0
6087,0
19744,0
25418,0
30213,0
24164,0
21105,1
25462,0
1303,0
23057,0
40928,1
29406,0
18735,0
27301,0
40183,1
17893,0
37158,0
20311,0
7536,0
24746,0
26413,0
23845,0
31703,0
36921,0
3304,0
31215,0
27528,0
39250,0
13301,0
24074,0
3287,0
18928,0
35726,0
26137,0
33532,0
23736,0
6856,0
23300,0
17401,0
5235,0
31432,0
1887,0
11855,0
29687,0
27518,0
24631,0
18255,1
1493,0
40859,0
16472,0
3827,0
23855,0
17425,0
2016,0
5298,0
6715,0
10081,0
14786,0
25586,0
17272,0
7884,0
23933,0
25756,0
32561,0
22383,0
18789,0
1152,0
257,0
865,0
25801,0
17757,1
32593,0
33535,0
9425,0
21420,0
38999,1
30125,0
25711,0
3284,0
26080,0
39464,0
20250,0
31177,0
25987,0
25379,0
13194,0
14684,1
14640,0
15749,0
6681,0
9137,0
5581,0
39287,1
924,0
32949,0
7178,0
39363,0
22029,0
37558,0
22519,0
7164,0
27078,0
5168,0
10126,0
19861,0
1338,0
30350,1
16826,0
22601,0
3176,0
3017,0
28583,0
10609,0
6265,0
3619,0
3170,0
18142,0
32775,0
16852,0
8256,0
33452,0
26437,0
19763,0
21038,0
38232,1
24783,0
39728,1
16290,0
7821,0
27869,0
22040,0
508,0
22862,0
3441,0
23441,0
17594,0
20021,0
35720,0
39842,0
16120,0
36560,1
1670,0
39187,0
28387,1
20474,0
3418,0
36636,1
35945,0
36783,0
33446,0
31473,0
5429,0
9728,0
27965,0
5453,0
31200,0
11980,0
6313,0
22441,0
37981,0
17710,0
23479,0
29305,0
13559,0
17085,0
6401,0
34929,0
11714,0
16898,0
37917,0
21307,1
20823,0
25886,0
23283,0
13870,0
12247,0
18401,0
22969,0
1896,0
31981,1
20510,0
39497,0
17825,0
15371,0
22136,0
28560,0
10497,0
15025,0
4578,0
38175,1
6603,0
39538,1
15655,0
6973,0
40778,0
7830,0
1135,0
41015,0
16160,0
37123,0
29378,0
12674,0
32564,0
6417,0
18433,0
14952,0
7850,0
7896,0
27391,0
5968,0
35381,0
5852,1
22786,1
24965,0
38746,0
3532,0
30889,0
7669,0
24033,1
30653,0
19328,0
12933,0
13376,0
17683,0
38315,0
18476,0
3470,0
7034,0
27702,0
12432,0
40534,0
40220,1
9287,0
36085,1
32309,0
21835,0
28490,0
6019,0
36778,0
12638,0
17446,0
24617,0
4845,0
962,0
23613,0
32557,0
31805,0
39391,0
21237,0
14488,0
10897,0
21591,0
38310,0
39317,0
9162,0
22301,0
16037,0
25660,0
4425,0
29529,0
31714,0
25840,0
18939,0
12612,0
19841,0
7854,0
10907,1
31710,0
31127,0
14723,0
15200,0
9172,0
34729,0
31058,0
34030,0
25574,0
7455,0
21247,0
39091,1
11706,0
17399,1
18640,0
39875,1
9168,0
29485,0
39244,0
10669,0
2607,0
36948,0
11379,0
15919,0
36620,0
3381,1
14252,0
29364,0
21367,0
18539,0
23776,0
24105,0
34009,0
15048,0
12666,0
30135,1
34359,1
939,0
21389,0
24176,0
6512,0
10371,0
35410,0
38672,0
37766,0
38840,1
5186,0
30271,0
25835,0
26972,0
21523,0
1100,0
1177,0
23490,0
39261,1
19053,0
31702,1
34694,0
11798,0
32746,0
3112,0
15109,0
38391,0
17364,1
6917,0
12970,0
37780,0
30173,0
34256,0
28848,0
2821,0
16318,0
34668,0
25433,0
30743,0
4991,0
4952,0
408,0
1984,0
25696,0
20811,0
22538,0
32463,0
11982,0
7121,0
40909,1
39776,1
2164,0
522,0
19902,0
37518,0
27583,0
6403,0
36557,1
18402,0
18349,0
34473,0
15835,0
33965,0
36976,1
20875,0
2602,0
30738,0
29389,0
36430,0
11318,0
22685,0
31217,0
16012,0
6684,0
25651,0
33280,0
11887,0
5059,0
29360,0
26432,0
1868,0
23169,0
20928,0
37730,1
4072,0
26606,1
23184,0
38364,0
10605,0
35307,0
19988,0
20850,0
8595,0
18087,0
36843,1
35645,0
4734,0
2612,0
25673,1
33414,0
5074,0
33053,0
31211,0
10259,0
19203,0
20736,0
14267,0
31741,0
8054,0
22989,0
2529,0
28575,0
41162,0
11185,0
6888,0
27181,1
39502,0
27776,0
18591,0
11911,0
27543,0
21899,0
14797,0
39624,0
31201,0
30722,0
14376,0
18753,0
14607,0
27006,0
33539,0
405,0
4160,0
1662,0
34050,1
13978,1
610,0
22211,0
2377,0
4104,0
5129,0
25280,0
26841,0
5010,0
32345,0
5910,0
31230,0
16578,0
16134,0
20239,0
19087,0
14577,0
15830,1
5752,0
26865,0
19348,0
12769,0
16124,0
20567,0
28488,1
19728,0
30368,1
18132,0
13861,0
4176,0
33404,0
8442,0
24058,1
7717,1
19919,0
28305,1
35694,0
27751,1
32504,0
34356,0
6842,0
27772,1
9485,0
25628,0
12107,0
36574,0
29655,1
12485,0
37255,0
34770,0
38836,0
28417,1
2325,0
27045,0
1740,0
20458,0
23374,0
2109,0
10612,0
17844,0
27158,0
21958,0
24678,0
18781,0
40690,1
7146,0
19516,0
31831,0
36872,0
1245,0
32800,0
32857,0
29609,1
2801,0
37643,1
3838,0
7376,0
86,0
8253,0
21382,0
34792,0
3235,0
40743,0
15288,0
2586,0
25950,0
10014,0
34775,0
11611,0
26412,0
24375,0
39355,1
30326,1
36126,0
21235,0
31822,0
18674,0
3639,0
28769,0
21119,0
6279,0
24676,0
9338,1
8080,0
9711,0
29254,0
8586,0
8038,0
40005,1
11341,0
26060,1
30626,0
35379,0
40301,1
23711,0
37326,0
39238,0
38826,0
39716,1
34643,0
24213,1
26398,1
22323,0
12330,0
35532,0
33178,1
33097,0
58,0
24985,1
39975,1
24010,0
34957,0
16500,0
27660,0
9242,0
9707,0
24726,0
21947,0
31009,0
10000,0
8181,0
22945,0
32913,0
35937,1
24180,0
39985,1
9327,0
25081,0
7200,0
28475,0
24642,0
22482,0
29171,0
31828,0
18684,0
7790,0
5740,0
39024,1
33664,0
5116,0
1258,0
25047,0
31105,0
39059,0
39494,1
4833,0
27697,1
12897,0
2949,0
9405,0
4615,0
17857,0
1356,0
22752,0
19084,0
18669,0
1125,0
21574,0
19396,0
3432,0
17942,0
35566,0
767,0
4245,0
27666,0
14312,0
23751,0
3391,0
20703,0
30976,0
29345,1
31825,0
9069,0
30757,0
6892,0
10962,0
39544,1
30787,0
30971,0
37094,1
5718,0
21033,0
902,0
6336,0
18817,0
35725,0
429,0
360,0
32506,0
28137,0
19518,1
38339,0
33930,0
35263,0
29308,0
26943,0
39452,1
15499,0
15535,0
38385,0
29074,0
34904,0
18114,1
26199,0
9443,0
31351,0
19112,0
14565,0
9156,0
29957,0
6486,0
26586,0
36431,0
20172,0
8724,0
11943,0
9765,0
9963,0
14290,0
26533,0
25362,0
36365,0
4931,0
37364,0
26613,0
30010,0
31644,0
32785,0
8394,0
26899,0
17660,0
7047,0
39459,0
24571,0
17075,0
12613,0
37271,0
3579,0
18417,0
13790,0
14105,0
8613,0
18269,0
13373,0
6244,0
38394,0
29798,0
34855,0
16870,0
21155,0
16418,0
9293,0
38411,1
14291,0
28921,0
27203,0
18932,0
14999,0
37241,0
915,0
40509,1
21206,0
22281,0
39132,1
26602,0
33462,0
40556,1
6461,0
31249,0
6234,0
11861,0
40202,1
2075,0
35639,0
19672,0
32086,0
34991,0
13884,0
8628,0
3101,0
17053,0
11291,0
26036,0
9157,1
31912,0
7822,0
34871,0
1060,0
30654,0
8561,0
40196,1
24127,0
21275,0
25043,0
9295,0
39714,1
3785,0
30988,0
18105,0
1742,0
40212,1
16446,0
20380,0
5892,0
6590,0
29934,0
19134,0
29200,0
11678,0
17240,0
33895,0
21576,0
12451,0
27135,0
18890,0
39313,1
26429,0
36743,1
32420,0
1208,0
27966,0
22641,0
24004,0
28571,0
20303,0
25215,0
28041,0
38789,0
1524,0
26220,0
14121,0
13404,0
13130,0
19173,0
3068,0
40629,0
19162,0
35961,0
35927,0
1268,0
17915,0
31817,0
19611,0
33130,0
6722,0
33049,0
13780,0
20313,0
13057,0
23854,0
18005,0
28381,1
20189,0
12609,0
14165,0
8744,0
9655,0
24108,0
13674,0
30387,0
9399,0
2352,0
33574,0
10155,0
35493,0
18813,0
38556,1
25188,0
18485,1
24721,0
17487,0
38912,1
22581,0
4444,0
10903,0
14706,0
17009,1
18080,0
39465,1
40311,0
16787,0
22477,0
22506,0
23289,0
33138,0
30232,0
18938,0
7003,0
34229,0
7912,0
9311,0
13211,0
39732,1
25977,0
20769,0
40620,0
32852,0
32023,0
9693,0
28643,0
1179,0
20326,0
23431,0
18406,0
12759,0
23922,0
18812,0
40774,1
1009,0
32741,0
2070,0
37082,0
3279,0
34483,0
16319,0
16442,0
26939,0
6176,0
31161,0
39147,1
6182,0
35875,0
17834,0
1929,0
8568,1
31630,0
13532,0
23920,0
2695,0
31628,0
7711,0
7317,0
14096,0
22232,0
13824,0
40786,1
34130,0
7056,0
37399,0
21630,0
13982,0
6420,0
22081,0
21142,0
29989,1
31632,0
17359,1
20568,0
4918,0
24688,0
38021,1
1393,0
26545,0
40124,0
3152,0
37108,1
28729,0
14711,1
28344,0
33851,0
188,0
28888,0
37046,1
844,0
10209,0
10419,0
9596,0
35245,0
35592,0
10060,0
25199,0
29830,0
41005,0
34093,1
16135,0
33208,0
4458,0
2965,0
17941,0
28384,0
8301,0
20266,0
31746,0
36256,1
31646,0
36766,0
41164,1
15377,0
10938,0
8691,0
10539,0
37391,0
36158,0
25952,1
19161,0
1075,0
26397,0
35083,0
17561,0
31257,0
31281,0
23274,0
24250,0
31153,0
34118,0
40066,0
1968,0
2899,0
24874,0
1382,0
11136,0
9942,0
12960,0
15540,0
29026,0
22449,0
38446,1
38074,1
17752,0
33265,0
36296,0
33127,0
20640,0
35209,0
39090,0
1761,0
10285,0
25421,0
17497,0
27866,1
23918,0
5489,0
36260,0
5419,0
21498,0
28359,0
7878,0
8223,0
5830,0
24242,0
33158,0
11736,0
3501,0
3932,0
38109,1
28004,0
34866,0
39200,0
33829,0
28619,0
24691,0
104,0
32139,0
3907,0
40794,0
7076,0
31586,0
19605,1
32672,0
29081,0
34494,0
17231,0
39356,0
11607,0
35679,0
26992,0
33697,0
19480,0
7597,0
23467,0
16314,0
30998,0
40335,1
32538,0
11230,1
38155,1
18634,0
37630,0
18521,0
20198,0
38157,0
14115,0
33317,0
19755,0
17727,0
34716,0
35413,0
27132,0
27170,0
4549,0
21895,0
39179,0
29670,0
34457,0
8153,0
8823,0
21125,0
27241,0
7087,0
20317,0
20521,0
15212,0
35953,0
10798,0
35958,0
8027,0
2247,0
10153,0
24580,0
19495,0
5817,0
36497,1
25168,0
38714,0
21185,0
16268,0
16089,0
4614,0
37746,0
22867,0
24301,0
2953,0
36881,0
23108,0
23399,0
751,0
5775,0
3296,0
37944,0
6987,0
11354,0
10862,0
36707,1
13785,0
34888,0
35237,0
12472,0
35587,0
22620,0
5657,0
25405,0
25252,0
1710,0
35752,0
4706,0
25221,0
40772,0
21617,0
17351,0
35713,0
8268,0
18315,0
8644,0
23665,0
27052,0
29857,0
10901,0
24461,0
16211,0
28868,0
32394,0
30091,0
3707,0
17830,0
33342,1
18962,0
27011,0
19618,0
12130,0
27152,0
5279,0
6346,0
5802,0
15522,0
18750,0
17580,0
7510,0
19677,0
23195,0
19564,0
5250,0
5736,0
6259,0
19934,0
39331,0
25200,0
17299,0
20866,0
7038,0
8948,0
36889,0
23104,0
5471,0
19993,0
27703,0
286,1
27707,1
39173,0
23020,1
15534,0
30339,1
5310,0
93,0
35840,1
15485,1
36479,1
10630,0
13995,0
6126,0
23234,0
32295,0
6429,0
20405,0
25162,0
6097,0
1114,1
40014,1
30598,1
24491,0
30865,0
37787,0
34756,0
36957,0
757,0
32758,0
36125,0
14362,0
31049,0
18490,0
22244,0
1651,0
39403,1
6876,0
25352,0
11423,0
21898,0
19848,0
36888,1
28140,0
38459,0
15057,0
37822,0
15390,0
9853,0
37162,0
12169,0
18744,0
16264,0
28852,0
10635,1
13919,0
6589,0
3444,0
3783,0
15299,0
19239,0
20842,0
27972,0
36161,0
346,0
36224,1
30204,0
27522,1
6208,0
40533,0
13173,0
34562,0
23771,0
22788,0
36984,0
31010,0
30094,0
23694,0
4632,0
7757,0
38319,1
34629,0
14073,0
39227,1
25644,0
13502,0
9777,0
40977,1
38182,0
7905,0
24525,0
40341,0
33795,0
6718,0
21225,0
19426,0
74,0
10731,0
12596,0
15060,0
8725,0
8570,0
36177,1
36272,0
1216,0
11664,0
38141,1
11154,0
29618,0
24609,0
5960,0
30747,0
20618,0
4633,0
17089,0
30553,0
16627,1
37446,0
12214,0
4199,0
40921,0
13530,0
11117,0
5232,0
33470,0
12297,0
17911,0
30312,1
20514,0
31134,0
32871,0
2428,0
11788,0
135,0
12262,0
18801,0
7104,0
15274,0
37132,0
21838,0
8746,0
10708,0
16857,0
38131,0
7009,1
8540,0
29984,0
30595,1
20584,0
11559,0
12806,1
13478,0
38837,0
32239,0
22264,0
38085,0
24161,0
29504,0
14453,0
26764,0
14791,0
14062,0
18480,0
8615,0
16364,0
18590,0
12425,1
38106,1
7390,0
34833,0
38649,1
25473,0
37559,1
21650,0
14279,0
32340,0
23674,0
29374,0
13354,0
12083,0
22627,0
16974,0
18895,0
4216,0
4707,0
697,0
14685,0
4177,0
20423,0
36651,0
10956,0
4178,0
22332,0
35745,0
27942,1
21643,0
36634,1
5758,0
10765,0
16659,0
38448,1
13677,0
5114,0
6149,0
835,0
20149,0
38449,0
10912,0
10683,0
34964,0
38379,0
2903,0
17298,0
20904,0
3334,0
15742,0
29412,0
35383,0
11411,0
19175,0
32595,0
15916,0
34538,0
37350,0
19619,0
4409,0
18204,0
3909,0
3138,0
9869,0
29084,0
34842,0
6295,0
4443,0
31826,0
14471,0
26617,0
19264,0
33453,1
19544,0
6804,0
2267,0
36940,0
20530,0
14957,0
11925,0
11639,0
6211,0
31237,0
30110,0
37979,0
25669,0
15138,0
3034,0
19754,0
11996,0
31551,0
16871,0
33195,0
3438,0
7285,0
36539,1
16922,1
5716,0
39761,0
26032,0
27828,0
19907,0
4927,0
13053,0
39418,1
40803,1
36359,0
15621,0
27299,0
22571,0
8294,0
1419,0
1095,0
31930,0
3490,0
32494,0
28820,0
19835,0
16911,0
22896,0
23246,0
15110,1
15097,0
20055,0
40700,0
10187,0
14159,0
13206,0
181,0
13933,0
12250,0
30272,0
8227,0
11813,0
2269,0
36186,0
2287,0
26344,0
26444,0
6897,0
20103,0
18527,0
25703,0
1239,0
16097,0
5415,1
33576,0
29206,0
5867,0
21788,0
35031,0
22821,0
40121,1
13729,0
2497,0
6864,0
16937,0
26582,0
5115,0
14022,0
38259,1
20388,0
9230,0
2891,0
34101,0
13659,0
9571,0
9281,0
35408,1
18194,0
15314,0
34569,0
18280,1
10999,0
31840,0
14055,0
2704,0
4076,0
37877,0
